Kitap,Tarih,Moderatör,Nobel,Puan,Katilimcilar
Venedikte Ölüm,23.10.23,Berfin,Nobel,,
İklimler,22.11.23,Zeyneb,,,
Büyük Defter - Kanıt - Üçüncü Yalan,07.01.24,Erva,,,
Yalın Tutku,30.01.24,Seda,Nobel,,
Onca Yoksulluk Varken,28.02.24,Zeyneb,,,
Hamlet,31.03.24,Berfin,,,
On Buçuk Bölümde Dünya Tarihi,28.04.24,Seda,,,
Masumiyet Müzesi,24.05.24,Erva,Nobel,7.5,
Kambur,16.06.24,Zeynep,,,
Utanç (Disgrace)-Coetzee,30.06.24,Zeyneb,Nobel,,
Unutmanın Genel Teorisi,30.07.24,Seda,,,
Drina Köprüsü,17.09.24,Berfin,Nobel,,
Ben Burdan Okuyorum,Eylül 2024,Erva,,,
Roman Gibi,,,,,
Okumamak,,,,,
Eğer Bir Kış Gecesi Bir Yolcu,,,,,
"Naif, Süper",Ekim 2024,Zeynep,,,
Huzur,Ocak 2025,Berfin,,,
????,Nisan 2025,,,,
Dünün Dünyası,Haziran 2025,,,,
Usta ile Margarita,Eylül 2025,,,,
Aşk Dersleri,08.11.2025,,,,
Becoming Myself,04.12.2025,Zeynep,,,
Kapı,15.02.2026,,,,
Lolita,14.03.2026,Zeyneb,,,"Zeyneb, Erva, Seda, Berfin, Z Peker, Rana"