Date,Name,Year,Letterboxd URI,Rating
2020-08-16,Marriage Story,2019,https://boxd.it/hJAw,4
2020-08-16,The Double Life of Véronique,1991,https://boxd.it/28va,5
2020-08-16,Toy Story,1995,https://boxd.it/29qA,3.5
2020-08-16,Something Useful,2017,https://boxd.it/gMaY,4.5
2020-08-16,Paterson,2016,https://boxd.it/cRk2,3.5
2020-08-16,Inside Out,2015,https://boxd.it/4KHC,3
2020-08-16,I Origins,2014,https://boxd.it/7aRM,3
2020-08-16,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,3
2020-08-16,Her,2013,https://boxd.it/4O24,4
2020-08-16,Sidewalls,2011,https://boxd.it/2EiM,4
2020-08-16,Perfect Sense,2011,https://boxd.it/A3O,3.5
2020-08-16,Black Swan,2010,https://boxd.it/Sw0,4
2020-08-16,3 Idiots,2009,https://boxd.it/1Dsa,3.5
2020-08-16,Up,2009,https://boxd.it/1OEc,3.5
2020-08-16,A Son of the Sun,2008,https://boxd.it/18ny,3.5
2020-08-16,Persepolis,2007,https://boxd.it/27DC,3
2020-08-16,The Terminal,2004,https://boxd.it/2a2O,4.5
2020-08-16,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,3.5
2020-08-16,Before Sunset,2004,https://boxd.it/2bcg,3.5
2020-08-16,Finding Nemo,2003,https://boxd.it/72i,4
2020-08-16,The Pianist,2002,https://boxd.it/2aqc,3.5
2020-08-16,GoodFellas,1990,https://boxd.it/29FA,3.5
2020-08-16,The Shining,1980,https://boxd.it/29Nu,4
2020-08-16,The Bus,1974,https://boxd.it/8UhW,3.5
2020-08-16,Psycho,1960,https://boxd.it/2ab2,3.5
2020-08-16,12 Angry Men,1957,https://boxd.it/2auI,4
2020-08-16,Edward Scissorhands,1990,https://boxd.it/2aZc,3.5
2020-08-16,Three Colours: Red,1994,https://boxd.it/2b7q,4.5
2020-08-16,Three Colours: White,1994,https://boxd.it/2b7A,4
2020-08-16,Three Colours: Blue,1993,https://boxd.it/2b7K,4.5
2020-08-16,Before Sunrise,1995,https://boxd.it/2bcU,3.5
2020-08-16,Trainspotting,1996,https://boxd.it/29XY,4
2020-08-16,Reservoir Dogs,1992,https://boxd.it/2agc,3
2020-08-16,The Game,1997,https://boxd.it/26vC,3.5
2020-08-16,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2020-08-16,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,3.5
2020-08-16,The Piano Teacher,2001,https://boxd.it/2886,3.5
2020-08-16,Joker,2019,https://boxd.it/h4cS,3.5
2020-08-16,The Wild Pear Tree,2018,https://boxd.it/eMtM,4
2020-08-16,Red Istanbul,2017,https://boxd.it/fMvK,1
2020-08-16,Django Unchained,2012,https://boxd.it/2cCk,4
2020-08-16,My Grandfather's People,2011,https://boxd.it/2Rig,2
2020-08-16,A Separation,2011,https://boxd.it/gvo,3.5
2020-08-16,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,3
2020-08-16,Vicky Cristina Barcelona,2008,https://boxd.it/23rW,3
2020-08-16,Slumdog Millionaire,2008,https://boxd.it/1S3E,3
2020-08-16,Alone,2008,https://boxd.it/1qAK,2
2020-08-16,For Love and Honor,2007,https://boxd.it/1qAA,3
2020-08-16,Into the Wild,2007,https://boxd.it/22m2,3
2020-08-16,Romantic,2007,https://boxd.it/Bqu,2
2020-08-16,Blood Diamond,2006,https://boxd.it/28Tm,3
2020-08-16,My Father and My Son,2005,https://boxd.it/1QgQ,3.5
2020-08-16,Caché,2005,https://boxd.it/2amY,3.5
2020-08-16,The Notebook,2004,https://boxd.it/1UNE,2.5
2020-08-16,Where's Firuze?,2004,https://boxd.it/396C,2.5
2020-08-16,Catch Me If You Can,2002,https://boxd.it/29VS,3
2020-08-16,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4.5
2020-08-16,Ice Age,2002,https://boxd.it/2apS,4
2020-08-16,Garden State,2004,https://boxd.it/2asW,2.5
2020-08-16,Titanic,1997,https://boxd.it/2a2k,4
2020-08-16,Dogville,2003,https://boxd.it/2a8W,3.5
2020-08-16,A Hidden Life,2019,https://boxd.it/eb1Q,4
2020-08-16,Atonement,2007,https://boxd.it/24ui,4
2020-08-16,Gone with the Wind,1939,https://boxd.it/29Fq,3.5
2020-08-16,Magnolia,1999,https://boxd.it/2aze,4
2020-08-16,Good Will Hunting,1997,https://boxd.it/2ahY,4
2020-08-16,The Apartment,1996,https://boxd.it/1RMe,4
2020-08-16,Midnight in Paris,2011,https://boxd.it/i4a,4
2020-08-16,The Big Lebowski,1998,https://boxd.it/2b6C,3.5
2020-08-16,Time of the Gypsies,1988,https://boxd.it/1E1Y,5
2020-08-16,Dirty Dancing,1987,https://boxd.it/2baY,3.5
2020-08-16,Captain Fantastic,2016,https://boxd.it/b2K2,1.5
2020-08-16,Babel,2006,https://boxd.it/292o,4
2020-08-16,Revolutionary Road,2008,https://boxd.it/24Le,3.5
2020-08-16,Biutiful,2010,https://boxd.it/OiI,4
2020-08-16,Big Fish,2003,https://boxd.it/2a3M,2
2020-08-16,303,2018,https://boxd.it/hNBe,2
2020-08-16,My King,2015,https://boxd.it/aNq2,4
2020-08-16,Café de Flore,2011,https://boxd.it/302Q,4
2020-08-16,10 Things I Hate About You,1999,https://boxd.it/23AO,1.5
2020-08-16,Comidark Films: In Between,2019,https://boxd.it/nL1q,1.5
2020-08-16,The Vow,2012,https://boxd.it/2o4Y,3.5
2020-08-16,Love Actually,2003,https://boxd.it/2aeU,3
2020-08-16,The Hunt,2012,https://boxd.it/3wEC,3
2020-08-16,The Unbearable Lightness of Being,1988,https://boxd.it/1VKc,3
2020-08-16,Jojo Rabbit,2019,https://boxd.it/iEBG,3
2020-08-16,Gone Girl,2014,https://boxd.it/6hQu,3
2020-08-17,Mirage,2018,https://boxd.it/jeOm,1.5
2020-08-17,Miracle in Cell No. 7,2019,https://boxd.it/nFrM,2
2020-08-17,Green Book,2018,https://boxd.it/hErk,3
2020-08-17,Mortal World,2018,https://boxd.it/i1G8,2
2020-08-17,Blade Runner 2049,2017,https://boxd.it/b8wK,3
2020-08-17,Ayla: The Daughter of War,2017,https://boxd.it/gWyw,3
2020-08-17,In the Fade,2017,https://boxd.it/eZpS,3
2020-08-17,For Both of Us,2016,https://boxd.it/g1ho,0.5
2020-08-17,Sour Apples,2016,https://boxd.it/eXKu,1.5
2020-08-17,Gênco,2017,https://boxd.it/hiOG,2
2020-08-17,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,1.5
2020-08-17,Are We Ok?,2013,https://boxd.it/7wSW,1.5
2020-08-17,CM101MMXI Fundamentals,2013,https://boxd.it/52TQ,1.5
2020-08-17,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,3
2020-08-17,Amour,2012,https://boxd.it/34Q6,4.5
2020-08-17,Losers' Club,2011,https://boxd.it/gxE,1.5
2020-08-17,Incendies,2010,https://boxd.it/Msm,3
2020-08-17,Jolly Life,2009,https://boxd.it/ypI,2
2020-08-17,About Elly,2009,https://boxd.it/18Ry,3
2020-08-17,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4
2020-08-17,A Beautiful Mind,2001,https://boxd.it/2amk,4
2020-08-17,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,3
2020-08-17,Spirited Away,2001,https://boxd.it/2b4m,3
2020-08-17,Requiem for a Dream,2000,https://boxd.it/29VI,3
2020-08-17,Memento,2000,https://boxd.it/2bcK,1.5
2020-08-17,Life Is Beautiful,1997,https://boxd.it/29Wm,5
2020-08-17,Children of Heaven,1997,https://boxd.it/1C5k,4
2020-08-17,The Bandit,1996,https://boxd.it/1sVq,3.5
2020-08-17,Léon: The Professional,1994,https://boxd.it/2b8S,4
2020-08-17,The Lion King,1994,https://boxd.it/201Q,3
2020-08-17,Forrest Gump,1994,https://boxd.it/728,3
2020-08-17,Home Alone,1990,https://boxd.it/29Fg,1.5
2020-08-17,Dead Poets Society,1989,https://boxd.it/2aSg,4
2020-08-17,The Lion King,2019,https://boxd.it/eSjI,2.5
2020-08-17,Toy Story 4,2019,https://boxd.it/9ALu,4.5
2020-08-17,Incredibles 2,2018,https://boxd.it/7IPg,2.5
2020-08-17,Lion,2016,https://boxd.it/b2La,3
2020-08-17,Me Before You,2016,https://boxd.it/9n98,2
2020-08-17,Room,2015,https://boxd.it/7T0y,3.5
2020-08-17,Big Hero 6,2014,https://boxd.it/5rje,4
2020-08-17,The Fault in Our Stars,2014,https://boxd.it/6BQa,3
2020-08-17,About Time,2013,https://boxd.it/43bI,2.5
2020-08-17,Despicable Me 2,2013,https://boxd.it/3gg0,4.5
2020-08-17,Before Midnight,2013,https://boxd.it/4ive,3.5
2020-08-17,Ice Age: Continental Drift,2012,https://boxd.it/lQ2,3
2020-08-17,Silver Linings Playbook,2012,https://boxd.it/2TTo,1.5
2020-08-17,The Intouchables,2011,https://boxd.it/2FT0,3
2020-08-17,Cars 2,2011,https://boxd.it/H4Y,3.5
2020-08-17,Kung Fu Panda 2,2011,https://boxd.it/G36,5
2020-08-17,One Day,2011,https://boxd.it/Asu,2.5
2020-08-17,Shrek Forever After,2010,https://boxd.it/1WRo,3
2020-08-17,Remember Me,2010,https://boxd.it/1zyI,1.5
2020-08-17,Toy Story 3,2010,https://boxd.it/1WRe,3.5
2020-08-17,Mr. Nobody,2009,https://boxd.it/1k44,3
2020-08-17,Gran Torino,2008,https://boxd.it/1Qzy,3.5
2020-08-17,WALL·E,2008,https://boxd.it/1VEo,4
2020-08-17,Kung Fu Panda,2008,https://boxd.it/1Yws,3.5
2020-08-17,Ratatouille,2007,https://boxd.it/27ww,3
2020-08-17,The Pursuit of Happyness,2006,https://boxd.it/28PE,4.5
2020-08-17,Madagascar,2005,https://boxd.it/29dc,4
2020-08-17,Pride & Prejudice,2005,https://boxd.it/24u8,4
2020-08-17,Ice Age: The Meltdown,2006,https://boxd.it/2wRk,2.5
2020-08-17,The Incredibles,2004,https://boxd.it/1XLm,4
2020-08-17,Shrek 2,2004,https://boxd.it/29z8,3.5
2020-08-17,Cast Away,2000,https://boxd.it/20i8,3
2020-08-17,"Monsters, Inc.",2001,https://boxd.it/2a46,4
2020-08-17,City of Angels,1998,https://boxd.it/29Bo,3.5
2020-08-17,PK,2014,https://boxd.it/9q1G,3
2020-08-17,Shutter Island,2010,https://boxd.it/1U82,4
2020-08-17,Dogtooth,2009,https://boxd.it/158K,2.5
2020-08-17,V for Vendetta,2005,https://boxd.it/29Ik,3
2020-08-17,Million Dollar Baby,2004,https://boxd.it/2bdI,3
2020-08-17,50 First Dates,2004,https://boxd.it/285c,2.5
2020-08-17,The Sixth Sense,1999,https://boxd.it/29Js,4
2020-08-17,Pulp Fiction,1994,https://boxd.it/29Pq,4
2020-08-17,The Godfather,1972,https://boxd.it/2aNK,3.5
2020-08-17,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2020-08-17,Blade Runner,1982,https://boxd.it/2bcA,3
2020-08-17,The Breakfast Club,1985,https://boxd.it/27q4,3
2020-08-17,Rear Window,1954,https://boxd.it/2a6Q,4
2020-08-17,Vertigo,1958,https://boxd.it/2apI,3.5
2020-08-17,Split,2016,https://boxd.it/dgSy,3.5
2020-08-17,Eat Pray Love,2010,https://boxd.it/16Cc,2.5
2020-08-17,Hotel Rwanda,2004,https://boxd.it/2aSA,3
2020-08-17,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,1.5
2020-08-17,"Girl, Interrupted",1999,https://boxd.it/25ds,3.5
2020-08-17,Dancer in the Dark,2000,https://boxd.it/71E,4
2020-08-17,Annie Hall,1977,https://boxd.it/29M2,3
2020-08-17,The Devil's Advocate,1997,https://boxd.it/286k,3
2020-08-17,The Lake House,2006,https://boxd.it/27yM,4
2020-08-17,Alvin and the Chipmunks: The Road Chip,2015,https://boxd.it/7DWQ,3
2020-08-17,Alvin and the Chipmunks: The Squeakquel,2009,https://boxd.it/1zgk,2.5
2020-08-17,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,3
2020-08-17,Coraline,2009,https://boxd.it/1NhQ,2.5
2020-08-17,Dumbo,1941,https://boxd.it/1U2o,3
2020-08-17,One Hundred and One Dalmatians,1961,https://boxd.it/1SeC,2
2020-08-17,Finding Dory,2016,https://boxd.it/4aAA,2.5
2020-08-17,A Bug's Life,1998,https://boxd.it/1Yyy,3
2020-08-17,Like Stars on Earth,2007,https://boxd.it/20SA,3.5
2020-08-17,Spider-Man,2002,https://boxd.it/2a8i,3
2020-08-17,Gladiator,2000,https://boxd.it/2b9m,3
2020-08-17,The Green Mile,1999,https://boxd.it/2agG,3
2020-08-17,Rain Man,1988,https://boxd.it/2avw,4.5
2020-08-17,Decalogue I,1989,https://boxd.it/3WmE,3
2020-08-17,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3.5
2020-08-17,Return of the Jedi,1983,https://boxd.it/27Vm,2.5
2020-08-17,The Empire Strikes Back,1980,https://boxd.it/27Vw,3
2020-08-17,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3
2020-08-17,The Best Offer,2013,https://boxd.it/4Oh4,3
2020-08-17,My First Time,2012,https://boxd.it/3MX6,2.5
2020-08-17,Love Likes Coincidences,2011,https://boxd.it/nVe,3
2020-08-17,Begin Again,2013,https://boxd.it/5Ybs,4.5
2020-08-17,Three Steps Above Heaven,2010,https://boxd.it/cpG,3.5
2020-08-17,Monsters University,2013,https://boxd.it/bQm,3.5
2020-08-24,Piano Piano Kid,1991,https://boxd.it/322y,4
2021-01-25,Soul,2020,https://boxd.it/ioLA,5
2021-01-25,Night on Earth,1991,https://boxd.it/2ayq,3
2021-03-09,The Painted Veil,2006,https://boxd.it/1OyS,4.5
2021-03-09,Se7en,1995,https://boxd.it/29zs,3
2021-03-09,Kate & Leopold,2001,https://boxd.it/1Uj0,2.5
2021-03-09,A Few Good Men,1992,https://boxd.it/29nw,4.5
2021-03-09,Nomadland,2020,https://boxd.it/lnRy,3
2021-03-09,To the Wonder,2012,https://boxd.it/gpU,3.5
2021-03-09,Stuck Apart,2021,https://boxd.it/o2cU,2
2021-03-09,I Care a Lot,2020,https://boxd.it/mcHk,0.5
2021-03-10,Schindler's List,1993,https://boxd.it/2aq2,5
2021-03-11,Cold War,2018,https://boxd.it/fEoc,2.5
2021-03-13,Being John Malkovich,1999,https://boxd.it/2ahu,4
2021-03-14,Little Women,2019,https://boxd.it/aSVk,4
2021-03-16,The Devil All the Time,2020,https://boxd.it/i2tY,4
2021-03-17,It's Only the End of the World,2016,https://boxd.it/be0K,3.5
2021-03-21,No Country for Old Men,2007,https://boxd.it/21ew,0.5
2021-03-21,21 Grams,2003,https://boxd.it/2ajK,3.5
2021-03-21,P.S. I Love You,2007,https://boxd.it/229C,4
2021-03-21,Horton Hears a Who!,2008,https://boxd.it/1SfA,2
2021-03-21,Alvin and the Chipmunks,2007,https://boxd.it/21E0,3
2021-03-21,Bolt,2008,https://boxd.it/1QXg,3
2021-03-21,Twilight,2008,https://boxd.it/1Zui,3
2021-03-21,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,3
2021-03-21,The Butterfly's Dream,2013,https://boxd.it/5haQ,4
2021-03-21,Karakomik Filmler,2019,https://boxd.it/jMsO,3
2021-03-21,Tenet,2020,https://boxd.it/leq4,1
2021-03-21,Smurfs: The Lost Village,2017,https://boxd.it/4pCG,2
2021-03-21,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,2
2021-03-21,The Great Gatsby,2013,https://boxd.it/JY,3
2021-03-21,How to Train Your Dragon,2010,https://boxd.it/1WRy,3
2021-03-21,Beyaz Melek,2007,https://boxd.it/1qBy,3
2021-03-21,Shark Tale,2004,https://boxd.it/1VYe,5
2021-03-21,A Walk to Remember,2002,https://boxd.it/1WLq,3
2021-03-24,Palm Springs,2020,https://boxd.it/lCXQ,2.5
2021-04-11,While We're Young,2014,https://boxd.it/7oOs,3.5
2021-04-12,Time to Love,1965,https://boxd.it/46cu,2.5
2021-04-15,The Fountain,2006,https://boxd.it/28RU,4
2021-04-22,Like Crazy,2011,https://boxd.it/g4s,3
2021-04-23,Call Me by Your Name,2017,https://boxd.it/dYmm,2.5
2021-04-24,Collateral Beauty,2016,https://boxd.it/bAIu,4.5
2021-04-25,Pieces of a Woman,2020,https://boxd.it/nOrQ,3.5
2021-04-26,The Art of Racing in the Rain,2019,https://boxd.it/iYWk,4.5
2021-04-30,On Body and Soul,2017,https://boxd.it/fu7A,3.5
2021-05-02,Scent of a Woman,1992,https://boxd.it/1YAu,3.5
2021-05-02,Sound of Metal,2019,https://boxd.it/i7Q4,3.5
2021-05-04,Amélie,2001,https://boxd.it/2aUc,4
2021-05-05,La Belle Époque,2019,https://boxd.it/lXCE,4.5
2021-05-09,Minari,2020,https://boxd.it/mL9M,4.5
2021-05-09,Love Likes Coincidences 2,2020,https://boxd.it/oyc8,2.5
2021-05-11,As Good as It Gets,1997,https://boxd.it/268y,4.5
2021-05-16,Lady Bird,2017,https://boxd.it/dGNE,3.5
2021-05-22,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,https://boxd.it/4CHE,4
2021-05-26,Love in the Afternoon,1957,https://boxd.it/1HcK,2
2021-05-30,Friends: The Reunion,2021,https://boxd.it/pOQq,2.5
2021-06-03,Love in the Afternoon,1972,https://boxd.it/1Svo,3.5
2021-06-20,Pain and Glory,2019,https://boxd.it/iOBQ,2
2021-06-22,Oscar and the Lady in Pink,2009,https://boxd.it/AkU,3
2021-07-01,To the Bone,2017,https://boxd.it/e5AK,2
2021-07-14,Wonder,2017,https://boxd.it/ekeY,3
2021-07-30,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2021-08-04,Winter Sleep,2014,https://boxd.it/7Ua0,5
2021-08-06,Climates,2006,https://boxd.it/1H0k,3.5
2021-08-11,Annette,2021,https://boxd.it/f0RS,4
2021-08-11,Never Look Away,2018,https://boxd.it/eZns,4
2021-08-12,"Love, Rosie",2014,https://boxd.it/62hE,3
2021-08-12,The Lovers on the Bridge,1991,https://boxd.it/26li,3
2021-08-17,Amores Perros,2000,https://boxd.it/2bfu,3.5
2021-08-19,Whiplash,2014,https://boxd.it/7bQA,4.5
2021-08-20,Noah Land,2019,https://boxd.it/lEsq,3
2021-08-21,Chungking Express,1994,https://boxd.it/1UDa,3
2021-08-23,Little White Lies,2010,https://boxd.it/JiI,4
2021-08-23,The Elephant Man,1980,https://boxd.it/27LQ,3.5
2021-08-23,The Book Thief,2013,https://boxd.it/67wO,3
2021-08-23,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,3
2021-08-24,The Sea Inside,2004,https://boxd.it/27S8,4.5
2021-08-24,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,3.5
2021-08-26,Mary and Max,2009,https://boxd.it/1y2m,4.5
2021-08-26,Head-On,2004,https://boxd.it/2awk,3
2021-08-26,The Emoji Movie,2017,https://boxd.it/d9x4,3
2021-08-26,Cars 3,2017,https://boxd.it/7IPq,3
2021-08-26,The Little Prince,2015,https://boxd.it/9WbS,3.5
2021-08-26,Sex Tape,2014,https://boxd.it/6FRG,2
2021-08-26,Wedding Association,2013,https://boxd.it/7ezC,2.5
2021-08-26,Anna Karenina,2012,https://boxd.it/3lyy,3.5
2021-08-26,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/DdM,3
2021-08-26,Cars of the Revolution,2008,https://boxd.it/ypy,4
2021-08-26,Bee Movie,2007,https://boxd.it/22Vw,4
2021-08-26,Casablanca,1942,https://boxd.it/2aG0,3
2021-09-13,Another Round,2020,https://boxd.it/lkba,4
2021-09-18,Enemy,2013,https://boxd.it/5xtO,3
2021-09-20,Anima,2019,https://boxd.it/mxuc,2.5
2021-09-20,The Father,2020,https://boxd.it/m8Ie,4.5
2021-09-29,Shame,2011,https://boxd.it/2CxU,3
2021-10-04,A Heart in Winter,1992,https://boxd.it/Ja0,5
2021-10-10,Cinderella Man,2005,https://boxd.it/29he,4.5
2021-10-11,Shiva Baby,2020,https://boxd.it/oIv0,2.5
2021-10-12,The Guilty,2021,https://boxd.it/kOPW,3.5
2021-10-12,Locke,2013,https://boxd.it/6hHC,3.5
2021-10-15,Moonrise Kingdom,2012,https://boxd.it/2Wng,4
2021-10-24,The Last Samurai,2003,https://boxd.it/29ZA,3.5
2021-10-27,Dune,2021,https://boxd.it/fA7G,3
2021-10-27,After We Fell,2021,https://boxd.it/rWum,2.5
2021-11-02,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,4
2021-11-05,Scenes from a Marriage,2021,https://boxd.it/wzSU,4.5
2021-11-07,The Souvenir,2019,https://boxd.it/gXU4,2.5
2021-11-21,A Tale of Winter,1992,https://boxd.it/1WJO,3
2021-11-22,Eiffel,2021,https://boxd.it/omw6,3.5
2021-11-28,Cinema Paradiso,1988,https://boxd.it/1UlA,4.5
2021-12-09,Rush,2013,https://boxd.it/3lyS,4.5
2021-12-12,Jerry Maguire,1996,https://boxd.it/1YNS,3.5
2021-12-12,How to Become a Tyrant,2021,https://boxd.it/wvV6,3.5
2021-12-16,"Ana, My Love",2017,https://boxd.it/fesM,3.5
2021-12-18,When Harry Met Sally...,1989,https://boxd.it/29W2,4
2021-12-23,Remember us,2018,https://boxd.it/jINI,4.5
2022-01-01,Cem Yılmaz: Diamond Elite Platinum Plus,2021,https://boxd.it/yvJo,4
2022-01-03,A Broken Love Story,1982,https://boxd.it/8H0e,3.5
2022-01-15,Don't Look Up,2021,https://boxd.it/o0Hc,4
2022-01-20,The Social Network,2010,https://boxd.it/17ue,3.5
2022-01-21,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2022-02-24,The Worst Person in the World,2021,https://boxd.it/oyws,4
2022-03-01,Brothers,2009,https://boxd.it/20WW,3.5
2022-03-11,Mulholland Drive,2001,https://boxd.it/297o,0.5
2022-03-24,House of Sand and Fog,2003,https://boxd.it/1UEM,4
2022-03-26,Notting Hill,1999,https://boxd.it/2aeK,4
